AM903082.gene5.p01	APH(3')-IIIa	ARO:3002647
NC_002745.1124085.p01	arlS	ARO:3000839
NC_002745.1124097.p01	antibiotic sensitive dihydrofolate reductase	ARO:3000745
NC_002745.1124280.p01	elongation factor G	ARO:3000730
NC_002745.1124324.p01	ErmA	ARO:3000347
NC_002745.1124566.p01	sav1866	ARO:3000489
NC_002745.1124787.p01	cycloserine sensitive D-alanine synthetase	ARO:3000723
NC_002745.1124774.p01	cycloserine sensitive alanine racemase	ARO:3000722
NC_002745.1124792.p01	Staphylococcus aureus cls conferring resistance to daptomycin	ARO:3003074
NC_002745.1124852.p01	ErmA	ARO:3000347
NC_002745.1124896.p01	cycloserine sensitive alanine racemase	ARO:3000722
NC_002758.1121260.p01	Staphylococcus aureus pgsA mutations conferring resistance to daptomycin	ARO:3003323
NC_002745.1125313.p01	ErmA	ARO:3000347
NC_002758.1121390.p01	arlR	ARO:3000838
NC_002758.1121401.p01	antibiotic sensitive dihydrofolate reductase	ARO:3000745
NC_002758.1121585.p01	elongation factor G	ARO:3000730
NC_002774.1119947.p01	AAC(6')-Ie-APH(2'')-Ia	ARO:3002597
NC_002758.1119965.p01	antibiotic sensitive DNA topoisomerase subunit gyrB	ARO:3000734
NC_002758.1119966.p01	fluoroquinolone sensitive gyrA	ARO:3000733
NC_002758.1119995.p01	bleomycin resistance protein (BRP)	ARO:3001205
NC_002758.1120002.p01	mecR1	ARO:3000215
NC_002758.1120012.p01	ErmA	ARO:3000347
NC_002758.1120096.p01	tet38	ARO:3000565
NC_002758.1120291.p01	mepR	ARO:3000746
NC_002758.1120521.p01	elfamycin resistant EF-Tu	ARO:3001312
NC_002758.1120515.p01	rifamycin sensitive beta-subunit of RNA polymerase (rpoB)	ARO:3000737
NC_002758.1120939.p01	antibiotic sensitive signal peptidase I	ARO:3000717
NC_002758.1120516.p01	rifamycin sensitive beta-subunit of RNA polymerase (rpoB)	ARO:3000737
NC_002758.1120520.p01	elongation factor G	ARO:3000730
NC_002758.1120940.p01	antibiotic sensitive signal peptidase I	ARO:3000717
NC_002758.1121329.p01	fluoroquinolone sensitive parC	ARO:3000735
NC_002758.1121330.p01	fluoroquinolone sensitive parC	ARO:3000735
NC_002758.1121374.p01	cycloserine sensitive alanine racemase	ARO:3000722
NC_002758.1121389.p01	arlS	ARO:3000839
NC_002758.1121630.p01	ErmA	ARO:3000347
NC_002758.1121879.p01	sav1866	ARO:3000489
NC_002758.1122087.p01	cycloserine sensitive alanine racemase	ARO:3000722
NC_002758.1122100.p01	cycloserine sensitive D-alanine synthetase	ARO:3000723
NC_002758.1122105.p01	Staphylococcus aureus cls conferring resistance to daptomycin	ARO:3003074
NC_002758.1122203.p01	cycloserine sensitive alanine racemase	ARO:3000722
NC_002951.3238224.p01	arlR	ARO:3000838
NC_002951.3238319.p01	antibiotic sensitive dihydrofolate reductase	ARO:3000745
NC_002951.3236728.p01	elongation factor G	ARO:3000730
NC_002951.3236186.p01	antibiotic sensitive DNA topoisomerase subunit gyrB	ARO:3000734
NC_002951.3236187.p01	fluoroquinolone sensitive gyrA	ARO:3000733
NC_002951.3236525.p01	mepR	ARO:3000746
NC_002951.3236526.p01	mepA	ARO:3000026
NC_002951.3236234.p01	rifamycin sensitive beta-subunit of RNA polymerase (rpoB)	ARO:3000737
NC_002951.3236179.p01	rifamycin sensitive beta-subunit of RNA polymerase (rpoB)	ARO:3000737
NC_002951.3236183.p01	elongation factor G	ARO:3000730
NC_002951.3236433.p01	elfamycin resistant EF-Tu	ARO:3001312
NC_002951.3237855.p01	mgrA	ARO:3000815
NC_002951.3237945.p01	antibiotic sensitive signal peptidase I	ARO:3000717
NC_002951.3237946.p01	antibiotic sensitive signal peptidase I	ARO:3000717
NC_002951.3236156.p01	antibiotic sensitive DNA topoisomerase subunit gyrB	ARO:3000734
NC_002951.3236361.p01	Staphylococcus aureus pgsA mutations conferring resistance to daptomycin	ARO:3003323
NC_002951.3236245.p01	fluoroquinolone sensitive parC	ARO:3000735
NC_002951.3237159.p01	fluoroquinolone sensitive parC	ARO:3000735
NC_002951.3236554.p01	cycloserine sensitive alanine racemase	ARO:3000722
NC_002951.3238285.p01	arlS	ARO:3000839
NC_002952.2861655.p01	mepR	ARO:3000746
NC_002951.3237541.p01	sav1866	ARO:3000489
NC_002951.3238047.p01	cycloserine sensitive alanine racemase	ARO:3000722
NC_002951.3238133.p01	cycloserine sensitive D-alanine synthetase	ARO:3000723
NC_002951.3238401.p01	Staphylococcus aureus cls conferring resistance to daptomycin	ARO:3003074
NC_002952.2859160.p01	antibiotic sensitive signal peptidase I	ARO:3000717
NC_002952.2859940.p01	elongation factor G	ARO:3000730
NC_002952.2859950.p01	Staphylococcus aureus gyrB conferring resistance to aminocoumarin	ARO:3003301
NC_002952.2859949.p01	Staphylococcus aureus gyrA conferring resistance to fluoroquinolones	ARO:3003296
NC_002952.2859820.p01	bleomycin resistance protein (BRP)	ARO:3001205
NC_002952.2861159.p01	mecR1	ARO:3000215
NC_002952.2859614.p01	ErmA	ARO:3000347
NC_002952.2860408.p01	elfamycin resistant EF-Tu	ARO:3001312
NC_002952.2860169.p01	Staphylococcus aureus rpoB mutants conferring resistance to rifampicin	ARO:3003285
NC_002952.2860169.p01	Staphylococcus aureus rpoB mutants conferring resistance to daptomycin	ARO:3003287
NC_002952.2860170.p01	Staphylococcus aureus rpoC conferring resistance to daptomycin	ARO:3003291
NC_002952.2860687.p01	elongation factor G	ARO:3000730
NC_002952.2861402.p01	mgrA	ARO:3000815
NC_002952.2859159.p01	antibiotic sensitive signal peptidase I	ARO:3000717
NC_002952.2859901.p01	Staphylococcus aureus pgsA mutations conferring resistance to daptomycin	ARO:3003323
NC_002952.2859591.p01	antibiotic sensitive dihydrofolate reductase	ARO:3000745
NC_002952.2859858.p01	arlR	ARO:3000838
NC_002952.2859942.p01	Staphylococcus aureus parE conferring resistance to aminocoumarin 	ARO:3003314
NC_002952.2859942.p01	Staphylococcus aureus parE conferring resistance to fluoroquinolones	ARO:3003315
NC_002952.2859941.p01	Staphylococcus aureus parC conferring resistance to fluoroquinolone  	ARO:3003312
NC_002952.2861306.p01	Staphylococcus aureus mprF mutations conferring resistance to daptomycin	ARO:3003319
NC_002952.2861306.p01	mprF	ARO:3000863
NC_002952.2859261.p01	cycloserine sensitive alanine racemase	ARO:3000722
NC_002952.2859615.p01	ErmA	ARO:3000347
NC_002952.2859819.p01	PC1 beta-lactamase (blaZ)	ARO:3000621
NC_002952.2861198.p01	sav1866	ARO:3000489
NC_002952.2860990.p01	cycloserine sensitive alanine racemase	ARO:3000722
NC_002952.2859090.p01	cycloserine sensitive D-alanine synthetase	ARO:3000723
NC_002952.2860084.p01	cycloserine sensitive alanine racemase	ARO:3000722
NC_002953.2861834.p01	mgrA	ARO:3000815
NC_002953.2863293.p01	antibiotic sensitive signal peptidase I	ARO:3000717
NC_002953.2862780.p01	antibiotic sensitive signal peptidase I	ARO:3000717
NC_003140.1122765.p01	PC1 beta-lactamase (blaZ)	ARO:3000621
NC_002953.2863525.p01	antibiotic sensitive DNA topoisomerase subunit gyrB	ARO:3000734
NC_002953.2863526.p01	fluoroquinolone sensitive gyrA	ARO:3000733
NC_002953.2862954.p01	mepR	ARO:3000746
NC_002953.2862188.p01	rifamycin sensitive beta-subunit of RNA polymerase (rpoB)	ARO:3000737
NC_002953.2863814.p01	rifamycin sensitive beta-subunit of RNA polymerase (rpoB)	ARO:3000737
NC_002953.2863085.p01	elongation factor G	ARO:3000730
NC_002953.2862502.p01	elfamycin resistant EF-Tu	ARO:3001312
NC_002953.2862143.p01	Staphylococcus aureus pgsA mutations conferring resistance to daptomycin	ARO:3003323
NC_002953.2862684.p01	antibiotic sensitive DNA topoisomerase subunit gyrB	ARO:3000734
NC_002953.2864209.p01	fluoroquinolone sensitive parC	ARO:3000735
NC_002953.2864210.p01	fluoroquinolone sensitive parC	ARO:3000735
NC_002953.2863131.p01	cycloserine sensitive alanine racemase	ARO:3000722
NC_002953.2863895.p01	arlS	ARO:3000839
NC_002953.2862195.p01	arlR	ARO:3000838
NC_002953.2863861.p01	elongation factor G	ARO:3000730
NC_002953.2862566.p01	sav1866	ARO:3000489
NC_002953.2864437.p01	cycloserine sensitive alanine racemase	ARO:3000722
NC_002953.2862609.p01	cycloserine sensitive D-alanine synthetase	ARO:3000723
NC_002953.2862605.p01	Staphylococcus aureus cls conferring resistance to daptomycin	ARO:3003074
NC_003923.1003672.p01	elongation factor G	ARO:3000730
NC_005011.2598316.p01	PC1 beta-lactamase (blaZ)	ARO:3000621
NC_003923.1004400.p01	antibiotic sensitive DNA topoisomerase subunit gyrB	ARO:3000734
NC_003923.1004408.p01	fluoroquinolone sensitive gyrA	ARO:3000733
NC_005024.2598349.p01	bleomycin resistance protein (BRP)	ARO:3001205
NC_005127.2610354.p01	PC1 beta-lactamase (blaZ)	ARO:3000621
NC_005024.2598370.p01	AAC(6')-Ie-APH(2'')-Ia	ARO:3002597
NC_003923.1002410.p01	mepR	ARO:3000746
NC_005054.2598270.p01	AAC(6')-Ie-APH(2'')-Ia	ARO:3002597
NC_006629.3237997.p01	tetK	ARO:3000178
NC_003923.1002614.p01	elfamycin resistant EF-Tu	ARO:3001312
NC_003923.1002608.p01	rifamycin sensitive beta-subunit of RNA polymerase (rpoB)	ARO:3000737
NC_003923.1002609.p01	rifamycin sensitive beta-subunit of RNA polymerase (rpoB)	ARO:3000737
NC_003923.1002613.p01	elongation factor G	ARO:3000730
NC_005054.2598287.p01	PC1 beta-lactamase (blaZ)	ARO:3000621
NC_003923.1002759.p01	mgrA	ARO:3000815
NC_003923.1002958.p01	antibiotic sensitive signal peptidase I	ARO:3000717
NC_003923.1002959.p01	antibiotic sensitive signal peptidase I	ARO:3000717
NC_003923.1003278.p01	Staphylococcus aureus pgsA mutations conferring resistance to daptomycin	ARO:3003323
NC_003923.1003320.p01	antibiotic sensitive DNA topoisomerase subunit gyrB	ARO:3000734
NC_003923.1003353.p01	fluoroquinolone sensitive parC	ARO:3000735
NC_003923.1003354.p01	fluoroquinolone sensitive parC	ARO:3000735
NC_003923.1003399.p01	cycloserine sensitive alanine racemase	ARO:3000722
NC_003923.1003416.p01	arlS	ARO:3000839
NC_003923.1003417.p01	arlR	ARO:3000838
NC_003923.1003921.p01	sav1866	ARO:3000489
NC_003923.1004110.p01	cycloserine sensitive alanine racemase	ARO:3000722
NC_003923.1004122.p01	cycloserine sensitive D-alanine synthetase	ARO:3000723
NC_003923.1004127.p01	Staphylococcus aureus cls conferring resistance to daptomycin	ARO:3003074
NC_005951.2853409.p01	PC1 beta-lactamase (blaZ)	ARO:3000621
NC_007622.3792773.p01	mgrA	ARO:3000815
NC_007622.3793009.p01	antibiotic sensitive signal peptidase I	ARO:3000717
NC_007622.3794481.p01	antibiotic sensitive dihydrofolate reductase	ARO:3000745
NC_007622.3794230.p01	elongation factor G	ARO:3000730
NC_007622.3794240.p01	antibiotic sensitive DNA topoisomerase subunit gyrB	ARO:3000734
NC_007622.3794239.p01	fluoroquinolone sensitive gyrA	ARO:3000733
NC_007622.3792685.p01	mepR	ARO:3000746
NC_007622.3792928.p01	rifamycin sensitive beta-subunit of RNA polymerase (rpoB)	ARO:3000737
NC_007622.3792929.p01	rifamycin sensitive beta-subunit of RNA polymerase (rpoB)	ARO:3000737
NC_007622.3794348.p01	elongation factor G	ARO:3000730
NC_007622.3795131.p01	elfamycin resistant EF-Tu	ARO:3001312
NC_007622.3794232.p01	fluoroquinolone sensitive parC	ARO:3000735
NC_007622.3794231.p01	fluoroquinolone sensitive parC	ARO:3000735
NC_007622.3794898.p01	cycloserine sensitive alanine racemase	ARO:3000722
NC_007622.3794948.p01	arlR	ARO:3000838
NC_007793.3914945.p01	mgrA	ARO:3000815
NC_007622.3794899.p01	cycloserine sensitive alanine racemase	ARO:3000722
NC_007622.3792698.p01	cycloserine sensitive D-alanine synthetase	ARO:3000723
NC_007793.3914348.p01	antibiotic sensitive signal peptidase I	ARO:3000717
NC_007793.3915153.p01	cycloserine sensitive alanine racemase	ARO:3000722
NC_007793.3914127.p01	antibiotic sensitive DNA topoisomerase subunit gyrB	ARO:3000734
NC_007793.3912939.p01	fluoroquinolone sensitive gyrA	ARO:3000733
NC_007793.3912899.p01	mepR	ARO:3000746
NC_007793.3914369.p01	mepA	ARO:3000026
NC_007793.3913938.p01	elfamycin resistant EF-Tu	ARO:3001312
NC_007793.3914836.p01	rifamycin sensitive beta-subunit of RNA polymerase (rpoB)	ARO:3000737
NC_007793.3913726.p01	rifamycin sensitive beta-subunit of RNA polymerase (rpoB)	ARO:3000737
NC_007793.3913895.p01	elongation factor G	ARO:3000730
NC_007793.3913370.p01	antibiotic sensitive signal peptidase I	ARO:3000717
NC_007793.3914475.p01	Staphylococcus aureus pgsA mutations conferring resistance to daptomycin	ARO:3003323
NC_007793.3913375.p01	fluoroquinolone sensitive parC	ARO:3000735
NC_007793.3913356.p01	fluoroquinolone sensitive parC	ARO:3000735
NC_007793.3914746.p01	cycloserine sensitive alanine racemase	ARO:3000722
NC_007793.3913274.p01	arlS	ARO:3000839
NC_007793.3914065.p01	arlR	ARO:3000838
NC_007793.3914467.p01	antibiotic sensitive dihydrofolate reductase	ARO:3000745
NC_007793.3914462.p01	elongation factor G	ARO:3000730
NC_007793.3912917.p01	antibiotic sensitive DNA topoisomerase subunit gyrB	ARO:3000734
NC_007793.3914980.p01	sav1866	ARO:3000489
NC_007793.3913935.p01	cycloserine sensitive alanine racemase	ARO:3000722
NC_007793.3914827.p01	cycloserine sensitive D-alanine synthetase	ARO:3000723
NC_007795.3920712.p01	cycloserine sensitive alanine racemase	ARO:3000722
NC_007795.3920651.p01	arlR	ARO:3000838
NC_007795.3921103.p01	elongation factor G	ARO:3000730
NC_007795.3919178.p01	antibiotic sensitive DNA topoisomerase subunit gyrB	ARO:3000734
NC_007795.3919179.p01	fluoroquinolone sensitive gyrA	ARO:3000733
NC_007795.3919541.p01	mepR	ARO:3000746
NC_007795.3919542.p01	mepA	ARO:3000026
NC_007795.3920377.p01	rifamycin sensitive beta-subunit of RNA polymerase (rpoB)	ARO:3000737
NC_007795.3920378.p01	rifamycin sensitive beta-subunit of RNA polymerase (rpoB)	ARO:3000737
NC_007795.3920382.p01	elongation factor G	ARO:3000730
NC_007795.3920383.p01	elfamycin resistant EF-Tu	ARO:3001312
NC_007795.3920998.p01	mgrA	ARO:3000815
NC_009477.5169318.p01	AAC(6')-Ie-APH(2'')-Ia	ARO:3002597
NC_007795.3921748.p01	antibiotic sensitive signal peptidase I	ARO:3000717
NC_007795.3921749.p01	antibiotic sensitive signal peptidase I	ARO:3000717
NC_007795.3919991.p01	Staphylococcus aureus pgsA mutations conferring resistance to daptomycin	ARO:3003323
NC_007795.3920139.p01	antibiotic sensitive DNA topoisomerase subunit gyrB	ARO:3000734
NC_007795.3920057.p01	fluoroquinolone sensitive parC	ARO:3000735
NC_007795.3920058.p01	fluoroquinolone sensitive parC	ARO:3000735
NC_007795.3920690.p01	cycloserine sensitive alanine racemase	ARO:3000722
NC_007795.3920650.p01	arlS	ARO:3000839
NC_007795.3920215.p01	antibiotic sensitive dihydrofolate reductase	ARO:3000745
NC_009487.5167807.p01	rho transcription terminator factor	ARO:3000736
NC_007795.3920440.p01	antibiotic sensitive DNA topoisomerase subunit gyrB	ARO:3000734
NC_007795.3921883.p01	sav1866	ARO:3000489
NC_007931.3978604.p01	PC1 beta-lactamase (blaZ)	ARO:3000621
NC_007795.3920930.p01	cycloserine sensitive alanine racemase	ARO:3000722
NC_007795.3920943.p01	cycloserine sensitive D-alanine synthetase	ARO:3000723
NC_007795.3920948.p01	Staphylococcus aureus cls conferring resistance to daptomycin	ARO:3003074
NC_009487.5167215.p01	antibiotic sensitive signal peptidase I	ARO:3000717
NC_009487.5168486.p01	cycloserine sensitive alanine racemase	ARO:3000722
NC_009487.5167260.p01	arlR	ARO:3000838
NC_009487.5168780.p01	antibiotic sensitive dihydrofolate reductase	ARO:3000745
NC_009487.5168117.p01	elongation factor G	ARO:3000730
NC_009487.5167371.p01	antibiotic sensitive DNA topoisomerase subunit gyrB	ARO:3000734
NC_009487.5169058.p01	fluoroquinolone sensitive parC	ARO:3000735
NC_009487.5169058.p01	fluoroquinolone sensitive gyrA	ARO:3000733
NC_009487.5167689.p01	mecR1	ARO:3000215
NC_009487.5167690.p01	mecI	ARO:3000124
NC_009487.5167125.p01	ErmA	ARO:3000347
NC_009487.5169504.p01	tet38	ARO:3000565
NC_009632.5315495.p01	mgrA	ARO:3000815
NC_009487.5168384.p01	mepR	ARO:3000746
NC_009487.5169226.p01	rifamycin sensitive beta-subunit of RNA polymerase (rpoB)	ARO:3000737
NC_009487.5169227.p01	rifamycin sensitive beta-subunit of RNA polymerase (rpoB)	ARO:3000737
NC_009487.5167132.p01	elongation factor G	ARO:3000730
NC_009487.5167133.p01	elfamycin resistant EF-Tu	ARO:3001312
NC_009487.5167399.p01	mgrA	ARO:3000815
NC_009619.5314981.p01	AAC(6')-Ie-APH(2'')-Ia	ARO:3002597
NC_009487.5167214.p01	antibiotic sensitive signal peptidase I	ARO:3000717
NC_009487.5168618.p01	elongation factor G	ARO:3000730
NC_009487.5168717.p01	Staphylococcus aureus pgsA mutations conferring resistance to daptomycin	ARO:3003323
NC_009487.5169037.p01	fluoroquinolone sensitive parC	ARO:3000735
NC_009487.5169038.p01	fluoroquinolone sensitive parC	ARO:3000735
NC_009487.5169081.p01	cycloserine sensitive alanine racemase	ARO:3000722
NC_009487.5168711.p01	arlS	ARO:3000839
NC_009487.5167462.p01	ErmA	ARO:3000347
NC_009487.5167700.p01	sav1866	ARO:3000489
NC_009487.5167669.p01	cycloserine sensitive alanine racemase	ARO:3000722
NC_009487.5168895.p01	cycloserine sensitive D-alanine synthetase	ARO:3000723
NC_009487.5169780.p01	Staphylococcus aureus cls conferring resistance to daptomycin	ARO:3003074
NC_009487.5168198.p01	cycloserine sensitive alanine racemase	ARO:3000722
NC_009632.5315443.p01	cycloserine sensitive alanine racemase	ARO:3000722
NC_009632.5316152.p01	arlR	ARO:3000838
NC_009632.5317480.p01	elongation factor G	ARO:3000730
NC_009632.5317202.p01	cycloserine sensitive D-alanine synthetase	ARO:3000723
NC_009632.5315612.p01	antibiotic sensitive DNA topoisomerase subunit gyrB	ARO:3000734
NC_009632.5315613.p01	fluoroquinolone sensitive parC	ARO:3000735
NC_009632.5315613.p01	fluoroquinolone sensitive gyrA	ARO:3000733
NC_009632.5317786.p01	mecR1	ARO:3000215
NC_009632.5317787.p01	mecI	ARO:3000124
NC_009632.5315091.p01	ErmA	ARO:3000347
NC_009632.5316722.p01	tet38	ARO:3000565
NC_009632.5317054.p01	rho transcription terminator factor	ARO:3000736
NC_009632.5315488.p01	mepR	ARO:3000746
NC_009632.5315067.p01	rifamycin sensitive beta-subunit of RNA polymerase (rpoB)	ARO:3000737
NC_009632.5315068.p01	rifamycin sensitive beta-subunit of RNA polymerase (rpoB)	ARO:3000737
NC_009632.5315072.p01	elongation factor G	ARO:3000730
NC_009632.5315073.p01	elfamycin resistant EF-Tu	ARO:3001312
NC_009632.5315650.p01	antibiotic sensitive signal peptidase I	ARO:3000717
NC_009632.5315651.p01	antibiotic sensitive signal peptidase I	ARO:3000717
NC_009641.5330370.p01	mgrA	ARO:3000815
NC_009632.5317750.p01	elongation factor G	ARO:3000730
NC_009632.5315999.p01	Staphylococcus aureus pgsA mutations conferring resistance to daptomycin	ARO:3003323
NC_009632.5315161.p01	fluoroquinolone sensitive parC	ARO:3000735
NC_009632.5315162.p01	fluoroquinolone sensitive parC	ARO:3000735
NC_009632.5316864.p01	cycloserine sensitive alanine racemase	ARO:3000722
NC_009632.5317282.p01	arlS	ARO:3000839
NC_009632.5317461.p01	antibiotic sensitive dihydrofolate reductase	ARO:3000745
NC_009632.5317607.p01	ErmA	ARO:3000347
NC_009632.5317485.p01	sav1866	ARO:3000489
NC_009632.5316534.p01	cycloserine sensitive alanine racemase	ARO:3000722
NC_009632.5317004.p01	Staphylococcus aureus cls conferring resistance to daptomycin	ARO:3003074
NC_009632.5317083.p01	cycloserine sensitive alanine racemase	ARO:3000722
NC_009641.5330490.p01	antibiotic sensitive signal peptidase I	ARO:3000717
NC_009641.5330792.p01	antibiotic sensitive dihydrofolate reductase	ARO:3000745
NC_009641.5330901.p01	elongation factor G	ARO:3000730
NC_009641.5332339.p01	antibiotic sensitive DNA topoisomerase subunit gyrB	ARO:3000734
NC_009641.5331984.p01	fluoroquinolone sensitive gyrA	ARO:3000733
NC_009641.5330165.p01	mepR	ARO:3000746
NC_009641.5330166.p01	mepA	ARO:3000026
NC_009641.5330265.p01	rifamycin sensitive beta-subunit of RNA polymerase (rpoB)	ARO:3000737
NC_009641.5332400.p01	rifamycin sensitive beta-subunit of RNA polymerase (rpoB)	ARO:3000737
NC_009641.5332410.p01	elongation factor G	ARO:3000730
NC_009641.5331936.p01	elfamycin resistant EF-Tu	ARO:3001312
NC_009641.5332501.p01	antibiotic sensitive signal peptidase I	ARO:3000717
NC_009641.5330735.p01	antibiotic sensitive DNA topoisomerase subunit gyrB	ARO:3000734
NC_009641.5330756.p01	fluoroquinolone sensitive parC	ARO:3000735
NC_009641.5332241.p01	fluoroquinolone sensitive parC	ARO:3000735
NC_009641.5331997.p01	cycloserine sensitive alanine racemase	ARO:3000722
NC_009641.5332514.p01	arlS	ARO:3000839
NC_009641.5330787.p01	arlR	ARO:3000838
NC_009641.5331045.p01	sav1866	ARO:3000489
NC_009641.5331214.p01	cycloserine sensitive alanine racemase	ARO:3000722
NC_009641.5332179.p01	cycloserine sensitive D-alanine synthetase	ARO:3000723
NC_009641.5331222.p01	Staphylococcus aureus cls conferring resistance to daptomycin	ARO:3003074
NC_010066.5774791.p01	PC1 beta-lactamase (blaZ)	ARO:3000621
NC_010063.5774822.p01	PC1 beta-lactamase (blaZ)	ARO:3000621
NC_010063.5774811.p01	APH(3')-IIIa	ARO:3002647
NC_010111.5787932.p01	cat	ARO:3002670
NC_010079.5777271.p01	antibiotic sensitive dihydrofolate reductase	ARO:3000745
NC_010426.6155849.p01	cat	ARO:3002670
NC_010427.6155852.p01	cat	ARO:3002670
NC_010079.5776927.p01	antibiotic sensitive DNA topoisomerase subunit gyrB	ARO:3000734
NC_010079.5776969.p01	fluoroquinolone sensitive gyrA	ARO:3000733
NC_010079.5776896.p01	mepR	ARO:3000746
NC_012547.7751518.p01	bleomycin resistance protein (BRP)	ARO:3001205
NC_010079.5776972.p01	mepA	ARO:3000026
NC_010419.6155845.p01	AAC(6')-Ie-APH(2'')-Ia	ARO:3002597
NC_012547.7751504.p01	AAC(6')-Ie-APH(2'')-Ia	ARO:3002597
NC_010079.5776819.p01	rifamycin sensitive beta-subunit of RNA polymerase (rpoB)	ARO:3000737
NC_010079.5776815.p01	rifamycin sensitive beta-subunit of RNA polymerase (rpoB)	ARO:3000737
NC_010079.5776798.p01	elfamycin resistant EF-Tu	ARO:3001312
NC_010079.5777088.p01	mgrA	ARO:3000815
NC_010079.5776516.p01	antibiotic sensitive signal peptidase I	ARO:3000717
NC_010079.5775357.p01	antibiotic sensitive signal peptidase I	ARO:3000717
NC_010079.5777126.p01	Staphylococcus aureus pgsA mutations conferring resistance to daptomycin	ARO:3003323
NC_010079.5775269.p01	fluoroquinolone sensitive parC	ARO:3000735
NC_010079.5776237.p01	fluoroquinolone sensitive parC	ARO:3000735
NC_010079.5777093.p01	cycloserine sensitive alanine racemase	ARO:3000722
NC_010079.5775656.p01	arlS	ARO:3000839
NC_010079.5776364.p01	arlR	ARO:3000838
NC_013452.8554422.p01	tetK	ARO:3000178
NC_010079.5775771.p01	elongation factor G	ARO:3000730
NC_010079.5775747.p01	sav1866	ARO:3000489
NC_010079.5777355.p01	Staphylococcus aureus cls conferring resistance to daptomycin	ARO:3003074
NC_010079.5775913.p01	cycloserine sensitive alanine racemase	ARO:3000722
NC_010079.5776503.p01	cycloserine sensitive D-alanine synthetase	ARO:3000723
NC_013450.8614146.p01	arlR	ARO:3000838
NC_013450.8614156.p01	antibiotic sensitive dihydrofolate reductase	ARO:3000745
NC_013450.8614345.p01	elongation factor G	ARO:3000730
NC_013450.8612774.p01	antibiotic sensitive DNA topoisomerase subunit gyrB	ARO:3000734
NC_013450.8612775.p01	fluoroquinolone sensitive gyrA	ARO:3000733
NC_013450.8612871.p01	tet38	ARO:3000565
NC_013450.8613065.p01	mepR	ARO:3000746
NC_013450.8613267.p01	rifamycin sensitive beta-subunit of RNA polymerase (rpoB)	ARO:3000737
NC_013450.8613268.p01	rifamycin sensitive beta-subunit of RNA polymerase (rpoB)	ARO:3000737
NC_013450.8613272.p01	elongation factor G	ARO:3000730
NC_013450.8613273.p01	elfamycin resistant EF-Tu	ARO:3001312
NC_013450.8613410.p01	mgrA	ARO:3000815
NC_013450.8613683.p01	antibiotic sensitive signal peptidase I	ARO:3000717
NC_013450.8613684.p01	antibiotic sensitive signal peptidase I	ARO:3000717
NC_013450.8614008.p01	Staphylococcus aureus pgsA mutations conferring resistance to daptomycin	ARO:3003323
NC_013450.8614085.p01	fluoroquinolone sensitive parC	ARO:3000735
NC_013450.8614086.p01	fluoroquinolone sensitive parC	ARO:3000735
NC_013450.8614129.p01	cycloserine sensitive alanine racemase	ARO:3000722
NC_013450.8614145.p01	arlS	ARO:3000839
NC_013450.8614654.p01	sav1866	ARO:3000489
NC_013450.8614862.p01	cycloserine sensitive alanine racemase	ARO:3000722
NC_013450.8614876.p01	cycloserine sensitive D-alanine synthetase	ARO:3000723
NC_013450.8614977.p01	cycloserine sensitive alanine racemase	ARO:3000722
NC_009085.4919079.p01	elongation factor G	ARO:3000730
NC_009085.4920236.p01	cycloserine sensitive alanine racemase	ARO:3000722
NC_009085.4918494.p01	rifamycin sensitive beta-subunit of RNA polymerase (rpoB)	ARO:3000737
NC_009085.4918744.p01	rifamycin sensitive beta-subunit of RNA polymerase (rpoB)	ARO:3000737
NC_009085.4917139.p01	elongation factor G	ARO:3000730
NC_009085.4918860.p01	cycloserine sensitive alanine racemase	ARO:3000722
NC_009085.4920022.p01	1-deoxy-D-xylulose 5-phosphate reductoisomerase	ARO:3000743
NC_009085.4919799.p01	cycloserine sensitive alanine racemase	ARO:3000722
NC_009085.4919262.p01	antibiotic sensitive signal peptidase I	ARO:3000717
NC_009085.4918935.p01	elongation factor G	ARO:3000730
NC_009085.4918608.p01	fluoroquinolone sensitive parC	ARO:3000735
NC_010400.5987253.p01	antibiotic sensitive DNA topoisomerase subunit gyrB	ARO:3000734
NC_010400.5986681.p01	cycloserine sensitive alanine racemase	ARO:3000722
NC_010400.5984045.p01	fluoroquinolone sensitive parC	ARO:3000735
NC_010400.5984414.p01	elongation factor G	ARO:3000730
NC_010400.5986734.p01	fluoroquinolone sensitive gyrA	ARO:3000733
NC_010400.5986948.p01	antibiotic sensitive signal peptidase I	ARO:3000717
NC_010400.5984909.p01	adeG	ARO:3000778
NC_010400.5984910.p01	adeF	ARO:3000777
NC_010400.5986626.p01	1-deoxy-D-xylulose 5-phosphate reductoisomerase	ARO:3000743
NC_010400.5985368.p01	OXA-75	ARO:3001620
NC_010400.5986505.p01	mexT	ARO:3000814
NC_010400.5987467.p01	elongation factor G	ARO:3000730
NC_010400.5986917.p01	phosphonopyruvate decarboxylase	ARO:3000299
NC_010400.5986121.p01	rifamycin sensitive beta-subunit of RNA polymerase (rpoB)	ARO:3000737
NC_010400.5987325.p01	rifamycin sensitive beta-subunit of RNA polymerase (rpoB)	ARO:3000737
NC_010400.5986295.p01	fluoroquinolone sensitive parC	ARO:3000735
NC_010410.6000815.p01	elongation factor G	ARO:3000730
NC_010410.6003348.p01	abeS	ARO:3000768
